,id,link,Adress,zip,city,size,price,sq_m_price,lotsize,ejerudbetaling,buildyear,energy_class,downPayment,n_rooms,selfsale,dawaID,latitude,longitude,boliga_plus
14,1814567,https://boliga.dk/bolig/1814567,"Idasvej 25, Munkens Klit",9480,Løkken,72,1345000,18680.0,2246,1963,1971,-,70000,4.0,False,0A3F50C8-DCC9-32B8-E044-0003BA298018,57.33402,9.68269,"{'skybrud': 2, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 6, 'jordforurening': 1, 'luftforurening': 1, 'opklaringspct': 0.07, 'risk': 2}"
15,1814270,https://boliga.dk/bolig/1814270,Bjarkesvej 13,3370,Melby,63,1370000,21746.0,1601,1449,1963,-,70000,3.0,False,0A3F50A8-72B4-32B8-E044-0003BA298018,55.99347,11.98519,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.02, 'risk': 5}"
16,1814400,https://boliga.dk/bolig/1814400,Blanksøvej 34,4420,Regstrup,30,1395000,46500.0,2140,1281,1969,-,70000,2.0,False,0A3F50AD-902E-32B8-E044-0003BA298018,55.62099,11.63619,"{'skybrud': 1, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 6, 'radon': 9, 'jordforurening': 1, 'luftforurening': 3, 'opklaringspct': 0.05, 'risk': 1}"
17,1814331,https://boliga.dk/bolig/1814331,Tyr-Holmen 12,3250,Gilleleje,64,1495000,23359.0,1793,2443,1973,-,75000,3.0,False,0A3F50A8-E2B4-32B8-E044-0003BA298018,56.10857,12.26181,"{'skybrud': 2, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 7, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.07, 'risk': 1}"
18,1814514,https://boliga.dk/bolig/1814514,"Portlandsvej 97B, 1.",9370,Hals,93,1495000,16075.0,0,2147,1990,-,75000,3.0,False,,57.01967,10.35441,
19,1814329,https://boliga.dk/bolig/1814329,Gruelundvej 6  st. th.,5953,Tranekær,165,1545000,9363.0,3667,2939,1777,-,80000,0.0,False,0A3F50B5-EC64-32B8-E044-0003BA298018,55.12089,10.90048,"{'skybrud': 2, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 11, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.01, 'risk': 1}"
20,1814285,https://boliga.dk/bolig/1814285,"Spættevej 46, Kongsmark Strand",4200,Slagelse,92,1575000,17119.0,840,1427,1975,-,80000,4.0,False,0A3F50AE-C1F5-32B8-E044-0003BA298018,55.42374,11.20534,"{'skybrud': 2, 'stormflod': 2, 'vandloeb': 0, 'grundvand': 7, 'radon': 7, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 1}"
21,1814275,https://boliga.dk/bolig/1814275,"Tvede Linds Vej 2, Tibirke Sand",3300,Frederiksværk,75,1595000,21266.0,1600,1797,1970,-,80000,4.0,False,0A3F50A9-0159-32B8-E044-0003BA298018,56.01894,12.05751,"{'skybrud': 3, 'stormflod': 0, 'vandloeb': 2, 'grundvand': 7, 'radon': 5, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 7}"
22,1814271,https://boliga.dk/bolig/1814271,Natsværmervej 4,3300,Frederiksværk,78,1665000,21346.0,1226,1932,1975,-,85000,3.0,False,0A3F50A8-9121-32B8-E044-0003BA298018,55.94342,12.03354,"{'skybrud': 4, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 3, 'radon': 7, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.05, 'risk': 1}"
23,1814499,https://boliga.dk/bolig/1814499,"Horskær 46, Karrebæk",4736,Karrebæksminde,80,1695000,21187.0,809,1937,1972,-,85000,1.0,False,0A3F50B0-8873-32B8-E044-0003BA298018,55.1821,11.64482,"{'skybrud': 5, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 9, 'jordforurening': 2, 'luftforurening': 4, 'opklaringspct': 0.08, 'risk': 3}"
24,1814194,https://boliga.dk/bolig/1814194,"Bøgevang 26, Lindenborg",4000,Roskilde,67,1800000,26865.0,834,1769,1969,-,90000,3.0,False,0A3F50AB-A41E-32B8-E044-0003BA298018,55.64913,11.94287,"{'skybrud': 5, 'stormflod': 0, 'vandloeb': 0, 'grundvand': 4, 'radon': 9, 'jordforurening': 1, 'luftforurening': 4, 'opklaringspct': 0.06, 'risk': 5}"
