,id,link,Adress,zip,city,size,price,sq_m_price,lotsize,ejerudbetaling,buildyear,energy_class,downPayment,n_rooms,selfsale,kommune,dawaID,latitude,longitude,precip,sunhours,pressure,humidity,Års middeltemperatur,Års maksimumtemperatur,Års minimumtemperatur,skybrud,stormflod,vandloeb,grundvand,radon,jordforurening,luftforurening,opklaringspct,risk,Kyst,Stoppested,Regionaltog,Fodboldbane,Modulvogntog,Bibliotek,Daginstitution,Idrætshal,Skole,Supermarked,Læge,Svømmehal,Apotek,Skov,Sø,Hospital,Motorvej,Lufthavn,S-Tog,Metro
797,1806765,https://boliga.dk/bolig/1806765,Dådyrvej 14,4571,Grevinge,42,595000,14166.0,1206,932,1971,-,30000,1.0,False,Odsherred,0A3F50AC-B124-32B8-E044-0003BA298018,55.78241,11.56171,605.8362315784801,1782.3972722833807,1013.824490633878,82.03039828213778,9.46223952553489,29.754545385187324,10.86363649368286,10.0,0.0,0.0,7.0,7.0,1.0,4.0,0.02,1.0,9.28,2.57,28.94,3.38,7.75,8.15,3.41,5.45,3.37,2.65,7.73,10.61,10.49,0.607,4.66,31.95,14.05,21.82,1.47,175.71
798,1807033,https://boliga.dk/bolig/1807033,Pilestien 426K,4970,Rødby,47,749000,15936.0,95,2581,1988,-,40000,2.0,False,Lolland,0A3F50B1-2183-32B8-E044-0003BA298018,54.66952,11.3339,586.9426685680043,1788.477871981534,1014.5276933149858,82.91612313010476,9.717291138388894,30.2727274461226,10.109090805053713,5.0,4.0,0.0,7.0,10.0,1.0,4.0,0.07,1.0,0.882,0.302,3.28,2.56,2.94,1.94,2.33,0.669,6.26,0.688,6.14,6.27,6.47,3.54,8.17,22.85,3.37,136.97,113.79,149.54
799,1806845,https://boliga.dk/bolig/1806845,"Tjørnevænget 13, Hesselbjerg",5932,Humble,54,895000,16574.0,1201,1553,1979,-,45000,3.0,False,Langeland,0A3F50B5-C4D8-32B8-E044-0003BA298018,54.81643,10.65706,627.1514726118608,1773.4889026988635,1014.4118097478694,83.60761469060725,9.741807330738414,28.98181811246005,8.42727273160761,4.0,0.0,0.0,5.0,8.0,1.0,4.0,0.03,1.0,1.34,0.236,35.67,4.08,17.73,16.82,4.08,4.0,4.08,3.02,16.95,36.2,3.39,4.87,1.95,35.93,37.1,90.06,164.08,198.71
800,1806772,https://boliga.dk/bolig/1806772,Hans Kurtsvej 34,3370,Melby,64,1195000,18671.0,1230,1600,1973,-,60000,4.0,False,Halsnæs,0A3F50A8-7F2E-32B8-E044-0003BA298018,55.98552,11.97688,601.4267051003196,1760.5824529474432,1013.8460859818892,82.30792860551314,9.325521555813877,29.55454496903853,10.654545350508256,4.0,0.0,0.0,3.0,7.0,2.0,4.0,0.02,2.0,2.77,1.29,1.33,1.7,1.92,4.68,1.51,1.67,1.84,2.61,4.62,5.81,4.76,3.4,5.48,20.14,31.98,76.44,20.88,53.73
801,1806915,https://boliga.dk/bolig/1806915,Lars Petersvej 26,4573,Højby,70,1495000,21357.0,1517,1573,1970,-,75000,3.0,False,Odsherred,0A3F50AF-37B7-32B8-E044-0003BA298018,55.87883000000001,11.55014,605.8362315784801,1782.3972722833807,1013.824490633878,82.03039828213778,9.46223952553489,29.754545385187324,10.86363649368286,4.0,0.0,0.0,4.0,7.0,1.0,4.0,0.02,4.0,1.78,0.424,5.78,5.32,3.77,5.71,5.4,4.23,5.32,3.08,6.04,5.8,6.02,0.915,0.529,11.84,25.22,95.63,47.64,82.25
802,1807030,https://boliga.dk/bolig/1807030,"Fjordvang 3, Markeslev",4300,Holbæk,41,1495000,36463.0,1247,974,1974,-,75000,2.0,False,Holbæk,0A3F50AD-38AA-32B8-E044-0003BA298018,55.74146,11.73476,608.8229897238991,1761.5832852450285,1014.0012650923295,81.63317316228694,9.318405411460184,29.96363639831543,11.29090911691839,4.0,0.0,0.0,4.0,9.0,1.0,3.0,0.04,1.0,2.36,1.29,10.19,3.6,11.18,11.65,3.64,3.6,3.07,3.21,11.67,11.69,12.17,1.97,13.55,13.76,11.45,82.98,44.99,67.03
803,1807013,https://boliga.dk/bolig/1807013,"Hyllingeriis 68, Østby",4050,Skibby,67,1575000,23507.0,818,1535,2015,G,80000,4.0,False,Frederikssund,0A3F50AA-7309-32B8-E044-0003BA298018,55.77186999999999,12.05225,592.0553894042969,1740.1763028231535,1013.9815451882102,81.56616002863103,9.306869420138273,29.87272713401101,11.100000078027898,8.0,4.0,0.0,6.0,6.0,1.0,4.0,0.03,4.0,0.65,2.59,24.41,3.63,39.71,9.16,3.54,3.89,2.48,26.37,8.8,13.16,9.42,6.13,2.22,16.75,38.54,67.18,13.81,48.42
804,1806989,https://boliga.dk/bolig/1806989,"Engbovej 15, Kisserup",4300,Holbæk,72,1650000,22916.0,1200,951,2004,-,85000,4.0,False,Holbæk,0A3F50AD-35CB-32B8-E044-0003BA298018,55.78886,11.70524,608.8229897238991,1761.5832852450285,1014.0012650923295,81.63317316228694,9.318405411460184,29.96363639831543,11.29090911691839,2.0,2.0,0.0,4.0,6.0,1.0,3.0,0.04,3.0,0.273,2.02,14.11,5.01,15.51,15.57,5.06,5.01,4.49,4.37,15.13,15.61,16.62,3.82,17.47,17.9,13.4,87.13,48.91,70.95
805,1806903,https://boliga.dk/bolig/1806903,Pengeurtvej 19,4873,Væggerløse,100,1675000,16750.0,1029,1468,1978,-,85000,4.0,False,Guldborgsund,0A3F50B1-924C-32B8-E044-0003BA298018,54.67656,11.94945,611.2072420987216,1825.6578369140625,1014.5606023615056,83.55549136075106,9.572531873529607,29.87272748080167,9.981818155808883,4.0,4.0,0.0,6.0,9.0,1.0,4.0,0.06,2.0,2.6,0.512,13.82,5.57,3.91,5.98,5.79,2.43,9.0,2.55,12.05,12.41,12.24,3.69,14.06,15.78,25.37,144.21,97.99,133.74
806,1806860,https://boliga.dk/bolig/1806860,"Ravnsvej 51, Egsmark Strand",8400,Ebeltoft,73,1695000,23219.0,1209,1859,1973,-,85000,3.0,False,Syddjurs,0A3F50BF-8A2C-32B8-E044-0003BA298018,56.23216,10.65405,643.7656388716264,1696.13671875,1013.638416637074,82.89583795720881,9.321547941728072,29.59090891751376,12.02727274461226,1.0,0.0,0.0,5.0,9.0,1.0,4.0,0.05,6.0,1.29,0.846,44.81,4.66,1.54,7.25,3.74,8.52,5.05,2.97,13.23,5.34,4.68,1.88,5.12,29.52,28.27,15.81,17.73,154.21
807,1806968,https://boliga.dk/bolig/1806968,"Vestparken 1, Hasmark Strand",5450,Otterup,92,1745000,18967.0,1129,2387,2001,-,90000,3.0,False,Nordfyns,0A3F50B5-24E8-32B8-E044-0003BA298018,55.55568,10.46962,,,,,,,,4.0,0.0,0.0,4.0,7.0,1.0,4.0,0.06,2.0,0.561,0.36,22.28,4.21,31.65,7.69,4.21,8.22,7.87,7.72,7.52,22.8,8.19,2.32,5.39,23.3,29.98,19.75,133.09,272.68
808,1806990,https://boliga.dk/bolig/1806990,"Diernæs Strandby 158, Diernæs Strand",6100,Haderslev,75,1745000,23266.0,689,1809,1975,-,90000,5.0,False,Haderslev,0A3F50B6-AFEC-32B8-E044-0003BA298018,55.15359,9.49278,837.963417746804,1622.07763671875,1014.1249056729404,83.7426986694336,9.158311063593084,29.79999993064187,11.954545454545455,2.0,4.0,2.0,6.0,7.0,1.0,4.0,0.08,7.0,0.32,2.32,16.45,4.69,17.34,12.42,4.8,6.18,4.7,0.608,9.83,13.83,13.35,1.78,1.77,18.09,15.09,57.52,117.21,304.75
809,1806865,https://boliga.dk/bolig/1806865,"Byåsen 23, Rødkilde",3250,Gilleleje,73,1795000,24589.0,1519,2361,1967,-,90000,4.0,False,Gribskov,0A3F50A8-B1E2-32B8-E044-0003BA298018,56.09874,12.36578,628.8093566894531,1729.457685990767,1013.891884543679,82.37806701660156,9.244194811040703,29.71818195689808,10.518181930888783,2.0,0.0,0.0,5.0,7.0,2.0,4.0,0.07,4.0,1.21,0.862,1.25,3.96,17.96,6.13,4.21,5.38,4.02,1.7,5.58,16.7,5.8,3.88,5.96,19.05,19.86,78.78,21.78,52.04
810,1807001,https://boliga.dk/bolig/1807001,"Sanglærkevej 1, Ll Kongsmark",4200,Slagelse,81,1845000,22777.0,953,1104,1963,-,95000,3.0,False,Kalundborg,0A3F50AE-B5C2-32B8-E044-0003BA298018,55.42053000000001,11.20255,592.4088273481889,1777.8604514382102,1013.9300037730824,82.37839716131037,9.498713840137828,29.46363622492009,10.872727307406338,4.0,0.0,0.0,4.0,9.0,1.0,4.0,0.05,5.0,0.513,2.96,11.96,4.94,9.37,9.47,4.45,3.0,7.61,2.99,11.79,12.85,9.58,,4.05,19.96,8.48,78.51,66.98,96.35
811,1807043,https://boliga.dk/bolig/1807043,"Knaresbrovej 9, Vejlby",7673,Harboøre,95,1995000,21000.0,1698,1638,2007,-,100000,4.0,False,Lemvig,16D19F5B-F031-16BD-E044-0003BA298018,56.57975,8.14062,860.8968200683594,1641.976318359375,1013.157304243608,84.23929526589133,9.209897648204457,29.718181783502754,9.909091017462993,4.0,2.0,0.0,6.0,3.0,1.0,4.0,-999.0,2.0,1.13,12.95,0.442,6.15,6.71,13.5,8.0,6.15,6.15,0.953,13.55,13.26,15.4,16.88,1.91,15.57,45.72,85.67,147.34,320.33
812,1806955,https://boliga.dk/bolig/1806955,"Vangeleds-Åsen 18, Rågeleje",3210,Vejby,69,2095000,30362.0,1230,1974,1965,-,105000,3.0,False,Gribskov,0A3F50A8-E419-32B8-E044-0003BA298018,56.09364,12.16875,628.8093566894531,1729.457685990767,1013.891884543679,82.37806701660156,9.244194811040703,29.71818195689808,10.518181930888783,3.0,0.0,0.0,3.0,7.0,1.0,4.0,0.04,5.0,1.02,0.342,5.42,2.51,22.66,5.36,3.73,2.51,2.51,3.57,6.65,8.96,9.84,4.75,1.21,28.29,33.13,77.11,23.76,53.97
813,1806886,https://boliga.dk/bolig/1806886,Højbovej 38,8400,Ebeltoft,87,2865000,32931.0,1844,4124,1968,-,145000,4.0,False,Syddjurs,0A3F50BF-7892-32B8-E044-0003BA298018,56.22821,10.65534,643.7656388716264,1696.13671875,1013.638416637074,82.89583795720881,9.321547941728072,29.59090891751376,12.02727274461226,3.0,0.0,0.0,4.0,9.0,2.0,4.0,0.05,8.0,0.809,0.368,44.69,4.18,1.05,6.78,3.26,8.73,4.57,2.5,12.95,4.86,4.19,1.4,4.64,29.04,27.78,15.33,17.26,153.74
814,1806947,https://boliga.dk/bolig/1806947,"Trekroner Sidevej 12, Gudmindrup Lyng",4573,Højby,120,2995000,24958.0,1200,2007,2013,-,150000,5.0,False,Odsherred,434D4D3B-1236-0401-E044-0003BA298018,55.91407,11.54607,605.8362315784801,1782.3972722833807,1013.824490633878,82.03039828213778,9.46223952553489,29.754545385187324,10.86363649368286,9.0,0.0,0.0,5.0,8.0,1.0,4.0,0.02,8.0,1.5,0.449,4.24,3.47,0.57,8.81,3.65,1.63,3.47,3.91,8.76,8.9,8.04,2.03,3.76,9.49,24.59,90.42,45.79,80.4
815,1807007,https://boliga.dk/bolig/1807007,"Tingodden 35, Årgab",6960,Hvide Sande,215,3395000,15790.0,19360,4429,1984,-,170000,7.0,False,Ringkøbing-Skjern,0A3F50BD-DFC0-32B8-E044-0003BA298018,55.95054,8.14545,888.2999933416194,1597.0282648259945,1013.518271706321,83.88258361816406,9.120506980202414,30.136363462968305,11.336363705721768,4.0,0.0,0.0,4.0,4.0,1.0,4.0,0.05,1.0,2.42,3.75,24.49,6.94,32.64,7.06,9.61,6.94,7.07,6.14,7.56,6.94,6.33,16.81,16.5,30.04,74.55,64.32,149.45,322.15
816,1806758,https://boliga.dk/bolig/1806758,Rønne Alle 23,8420,Knebel,136,3895000,28639.0,1338,2959,2000,-,195000,3.0,False,Syddjurs,0A3F50BF-8B83-32B8-E044-0003BA298018,56.17231999999999,10.52475,643.7656388716264,1696.13671875,1013.638416637074,82.89583795720881,9.321547941728072,29.59090891751376,12.02727274461226,3.0,2.0,0.0,5.0,6.0,8.0,4.0,0.01,4.0,10.89,0.556,0.4970000000000001,1.48,10.82,0.626,1.29,1.6,1.45,0.393,1.21,9.04,0.6729999999999999,1.31,6.66,20.17,11.23,84.96,48.65,71.14
817,1806831,https://boliga.dk/bolig/1806831,"Poppelvej 4, Smidstrup",3250,Gilleleje,57,3995000,70087.0,971,2985,1920,-,200000,4.0,False,Gribskov,0A3F50A8-D0F9-32B8-E044-0003BA298018,56.1188,12.24184,628.8093566894531,1729.457685990767,1013.891884543679,82.37806701660156,9.244194811040703,29.71818195689808,10.518181930888783,3.0,0.0,0.0,3.0,5.0,1.0,4.0,0.07,8.0,0.446,0.127,4.27,4.52,27.5,3.87,3.82,4.23,1.98,0.318,4.24,11.98,4.49,2.85,6.98,28.02,29.46,79.76,25.85,56.06
818,1807059,https://boliga.dk/bolig/1807059,M Christensens Vej 123,9480,Løkken,109,8000000,73394.0,1368,2980,1996,-,400000,4.0,False,Brønderslev,0A3F50C8-A464-32B8-E044-0003BA298018,57.35954,9.69744,745.8055308948864,1731.663984818892,1012.8637140447444,83.1563720703125,8.641820907592772,28.154545523903586,12.68181813846935,1.0,0.0,0.0,4.0,5.0,1.0,1.0,0.07,1.0,0.322,1.66,17.0,1.51,1.17,2.26,2.1,1.51,2.36,1.77,6.79,1.51,1.75,1.33,15.78,23.46,22.65,40.31,138.26,324.12
819,1806785,https://boliga.dk/bolig/1806785,Turistvej 45B,3730,Nexø,285,13500000,47368.0,6234,3848,2008,-,675000,7.0,False,Bornholm,3CB0A0C6-3236-0E4A-E044-0003BA298018,55.01453000000001,15.117920000000002,635.6813742897727,1882.8114235617895,1014.6331953568892,82.9592056274414,9.360589200800117,30.37272713401101,8.363636320287531,9.0,0.0,0.0,4.0,7.0,1.0,3.0,0.16,1.0,0.444,1.32,181.4,4.18,176.29,6.4,1.56,7.35,7.22,1.46,6.83,27.33,6.97,2.49,1.97,30.62,181.08,26.49,237.73,242.26
820,1806708,https://boliga.dk/bolig/1806708,Strandskadehøjen 6,4220,Korsør,60,995000,16583.0,0,1312,1987,-,50000,3.0,False,Slagelse,0A3F50AD-F042-32B8-E044-0003BA298018,55.38169,11.21185,581.5338301225142,1740.8875066583807,1014.2100441672583,82.13805736194958,9.414356578480113,29.863636016845703,10.6363637230613,3.0,2.0,2.0,6.0,7.0,2.0,4.0,0.05,2.0,1.36,0.7659999999999999,7.05,4.96,3.72,5.05,4.07,4.96,4.47,3.9,9.04,10.92,4.56,5.28,3.61,14.94,3.45,73.49,67.15,97.28
821,1806709,https://boliga.dk/bolig/1806709,"Tranevej 56, Frølunde Fed",4220,Korsør,74,1695000,22905.0,538,1227,1967,-,85000,3.0,False,Slagelse,0A3F50AD-F4D0-32B8-E044-0003BA298018,55.38567,11.20964,581.5338301225142,1740.8875066583807,1014.2100441672583,82.13805736194958,9.414356578480113,29.863636016845703,10.6363637230613,3.0,2.0,2.0,6.0,7.0,2.0,4.0,0.05,1.0,0.29100000000000004,0.885,6.83,5.69,4.62,5.78,4.8,5.69,5.2,4.23,8.82,11.29,5.29,6.01,4.35,15.67,4.18,74.22,67.88,98.01
822,1806719,https://boliga.dk/bolig/1806719,Hyllingeriis 78,4050,Skibby,100,1750000,17500.0,839,1789,2012,-,90000,4.0,False,Frederikssund,0A3F50AA-730E-32B8-E044-0003BA298018,55.7726,12.05197,592.0553894042969,1740.1763028231535,1013.9815451882102,81.56616002863103,9.306869420138273,29.87272713401101,11.100000078027898,8.0,4.0,0.0,6.0,6.0,1.0,4.0,0.03,4.0,0.62,2.82,24.19,3.4,39.94,8.54,3.31,3.66,2.71,26.14,8.18,12.93,9.65,6.36,2.0,15.43,37.99,65.86,13.58,48.19
823,1806704,https://boliga.dk/bolig/1806704,"Alumevangen 1, Smidstrup",3250,Gilleleje,70,3245000,46357.0,1214,1841,1972,-,165000,3.0,False,Gribskov,0A3F50A8-AA7E-32B8-E044-0003BA298018,56.11636,12.24407,628.8093566894531,1729.457685990767,1013.891884543679,82.37806701660156,9.244194811040703,29.71818195689808,10.518181930888783,4.0,0.0,0.0,4.0,7.0,1.0,4.0,0.07,6.0,0.88,0.493,4.39,4.43,26.88,4.02,3.97,4.37,1.97,0.446,4.38,11.9,4.66,2.99,7.11,28.19,29.63,79.14,25.38,55.59
824,1806674,https://boliga.dk/bolig/1806674,Grønnevænget 10B,6857,Blåvand,135,3548000,26281.0,1552,4368,1993,-,180000,5.0,False,Varde,0A3F50B8-8832-32B8-E044-0003BA298018,55.55282,8.12843,890.599140514027,1608.3590864701705,1013.7836969549006,83.65596909956498,9.172063480723988,30.03636360168457,11.518181757493453,3.0,0.0,0.0,5.0,4.0,2.0,4.0,0.14,2.0,1.32,1.6,15.39,15.0,34.25,14.79,15.1,15.0,15.45,0.1,15.16,7.12,15.16,3.57,7.0,38.85,35.8,38.91,152.7,332.56
825,1806682,https://boliga.dk/bolig/1806682,"Skovlystvej 56, Bøtø",4873,Væggerløse,100,1975000,19750.0,1296,1901,1980,-,100000,2.0,False,Guldborgsund,0A3F50B1-975F-32B8-E044-0003BA298018,54.67326,11.95056,611.2072420987216,1825.6578369140625,1014.5606023615056,83.55549136075106,9.572531873529607,29.87272748080167,9.981818155808883,8.0,4.0,0.0,6.0,9.0,1.0,4.0,0.06,2.0,2.93,0.22699999999999998,14.07,5.74,3.86,6.14,5.98,2.76,9.24,2.88,12.29,12.65,12.72,3.4,14.39,16.25,26.18,144.69,98.15,133.9
826,1806671,https://boliga.dk/bolig/1806671,Ahornvej 8,4873,Væggerløse,131,2600000,19847.0,1046,2555,1973,-,130000,5.0,False,Guldborgsund,0A3F50B1-7C65-32B8-E044-0003BA298018,54.69047,11.96086,611.2072420987216,1825.6578369140625,1014.5606023615056,83.55549136075106,9.572531873529607,29.87272748080167,9.981818155808883,8.0,4.0,0.0,6.0,9.0,1.0,4.0,0.06,2.0,21.75,0.184,2.35,1.05,4.69,3.08,1.14,1.02,1.05,0.905,2.99,1.09,3.13,2.08,1.04,3.88,4.68,65.42,14.58,192.06
827,1806673,https://boliga.dk/bolig/1806673,"Søndertoften 17, Ho",6857,Blåvand,178,2798000,15719.0,1801,2805,1993,-,140000,6.0,False,Varde,0A3F50B8-9633-32B8-E044-0003BA298018,55.54402,8.2309,890.599140514027,1608.3590864701705,1013.7836969549006,83.65596909956498,9.172063480723988,30.03636360168457,11.518181757493453,1.0,2.0,0.0,6.0,4.0,1.0,4.0,0.14,3.0,4.96,0.417,8.69,2.11,8.08,16.81,8.1,9.87,1.92,0.34600000000000003,8.95,13.73,13.31,1.4,5.62,14.58,36.4,45.77,84.72,259.11
